iter	Passed	Remaining
175	496	2326
176	498	2317
177	500	2309
178	503	2307
179	504	2298
180	505	2287
181	506	2277
182	507	2266
183	508	2256
184	509	2246
185	511	2237
186	512	2227
187	513	2217
188	514	2207
189	516	2200
190	517	2192
191	518	2182
192	519	2173
193	521	2164
194	522	2155
195	523	2146
196	524	2137
197	526	2134
198	528	2128
199	531	2124
200	532	2118
201	534	2111
202	535	2104
203	537	2095
204	538	2087
205	539	2078
206	540	2070
207	541	2061
208	542	2053
209	543	2044
210	544	2036
211	548	2038
212	549	2030
213	550	2023
214	551	2015
215	553	2008
216	554	2000
217	555	1993
218	556	1985
219	557	1977
220	559	1970
221	560	1962
222	564	1966
223	566	1961
224	567	1955
225	569	1949
226	570	1942
227	571	1934
228	572	1927
229	573	1920
230	574	1913
231	576	1909
232	579	1906
233	581	1902
234	582	1896
235	583	1890
236	585	1883
237	586	1878
238	588	1873
239	589	1867
240	593	1868
241	596	1867
242	597	1862
243	599	1856
244	600	1850
245	601	1844
246	603	1839
247	604	1834
248	607	1831
249	609	1827
250	610	1821
251	612	1816
252	614	1812
253	615	1808
254	617	1803
255	618	1798
256	620	1793
257	623	1793
258	625	1789
259	626	1783
260	628	1778
261	629	1772
262	630	1766
263	631	1760
264	632	1754
265	634	1750
266	636	1747
267	639	1745
268	640	1739
269	641	1734
270	642	1728
271	643	1722
272	644	1716
273	645	1710
274	647	1706
275	648	1702
276	652	1704
277	655	1701
278	656	1696
279	657	1691
280	658	1685
281	659	1680
282	661	1675
283	662	1669
284	663	1665
285	666	1663
286	668	1660
287	669	1656
288	671	1651
289	672	1646
290	673	1641
291	674	1636
292	676	1632
293	678	1628
294	680	1625
295	682	1622
296	683	1617
297	684	1613
298	686	1608
299	687	1603
300	688	1599
301	690	1595
302	691	1590
303	692	1586
304	694	1581
305	696	1578
306	697	1574
307	699	1570
308	700	1566
309	702	1562
310	703	1558
311	704	1553
312	705	1548
313	706	1544
314	708	1539
315	709	1535
316	714	1539
317	716	1536
318	717	1531
319	718	1527
320	719	1522
321	721	1518
322	722	1514
323	724	1510
324	726	1508
325	728	1505
326	729	1501
327	730	1497
328	732	1492
329	733	1489
330	734	1485
331	736	1481
332	737	1476
333	738	1473
334	742	1474
335	744	1472
336	746	1468
337	749	1468
338	750	1464
339	752	1460
340	753	1456
341	755	1453
342	757	1450
343	759	1447
344	760	1444
345	762	1442
346	764	1438
347	765	1434
348	766	1430
349	768	1426
350	769	1422
351	773	1423
352	774	1419
353	775	1414
354	776	1411
355	777	1407
356	779	1403
357	780	1399
358	781	1395
359	782	1391
360	783	1387
361	791	1395
362	792	1391
363	794	1387
364	795	1384
365	796	1380
366	798	1376
367	799	1372
368	800	1368
369	803	1368
370	805	1366
371	807	1363
372	810	1363
373	812	1359
374	813	1356
375	815	1352
376	818	1353
377	821	1351
378	823	1349
379	825	1346
380	826	1342
381	827	1339
382	829	1336
383	832	1335
384	838	1339
385	841	1337
386	842	1334
387	843	1330
388	845	1328
389	846	1324
390	851	1326
391	853	1323
392	854	1320
393	856	1316
394	857	1313
395	858	1309
396	860	1306
397	862	1305
398	866	1304
399	870	1306
400	874	1306
401	875	1302
402	878	1301
403	880	1298
404	883	1297
405	884	1294
406	885	1290
407	887	1287
408	888	1284
409	890	1281
410	892	1279
411	894	1276
412	896	1273
413	897	1270
414	899	1267
415	901	1265
416	903	1262
417	904	1259
418	906	1256
419	910	1257
420	912	1254
421	914	1251
422	915	1248
423	916	1245
424	918	1242
425	920	1240
426	921	1236
427	924	1235
428	927	1234
429	928	1231
430	930	1228
431	932	1225
432	933	1222
433	935	1220
434	938	1218
435	941	1217
436	942	1214
437	944	1211
438	946	1208
439	947	1205
440	948	1202
441	949	1199
442	951	1196
443	954	1195
444	957	1193
445	960	1192
446	962	1190
447	964	1188
448	965	1185
449	968	1183
450	970	1181
451	972	1179
452	974	1176
453	975	1173
454	977	1171
